ACN,date,year_month,year,month,local_time,locale,state,altitude_agl,altitude_msl,flight_conditions,weather,operator,make_model,flight_phase,anomaly,detector,when_detected,result,contributing_factors,primary_problem,event_type,pilot_action,severity,narrative_1,narrative_2,synopsis
1743749,202005,2020-05,2020,5,1801-2400,ZZZ.TRACON,US,,5000.0,VMC,,,Any Unknown or Unlisted Aircraft Manufacturer,Initial Climb,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,Person Flight Crew,In-flight,Flight Crew Returned To Clearance,Environment - Non Weather Related; Human Factors,Human Factors,Altitude Deviation,Returned to Clearance,Medium,Altitude deviation due to poor CRM while PIC was flying with auto pilot off. Contributing factor low recent flying due to COVID slow down. Deviation immediately reported to ATC and corrected.,,Corporate pilot reported having an altitude deviation while hand-flying the aircraft and attributed it to lack of flying due to the COVID-19 slow down.
1743770,202005,2020-05,2020,5,1201-1800,D10.TRACON,TX,,2000.0,VMC,,,BAe 125 Series 800,Initial Climb,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance,Human Factors; Procedure; Airspace Structure,Airspace Structure,Terrain / Obstacle Alert (CFIT/CFTT),ATC Intervention / Vectoring,Medium,I was working all the satellite sectors. I had a fairly decent amount of traffic and there was considerable frequency congestion. I released the aircraft via the automated rundown list. The aircraft was a south-bound jet. Initial instructions from tower are normally a 050 heading and a climb to 2;000 ft. The aircraft departed and he appeared much farther south than I had anticipated him being. I was dealing with many other priority transmissions. I heard an aircraft say shallow turn to zero five zero. I can't remember if I radar Identified the aircraft; but as soon as I registered that the plane was far too shallow to avoid the 2;200 ft. MVA (Minimum Vectoring Altitude) he was nearing; I turned the plane to a 030 heading for the climb. I was just trying to remain west of the depicted obstacle at that point because there were no safe altitudes I could climb to for crossing traffic. I had 2 VFR aircraft at 2;500 ft. and an IFR aircraft at 3;000 ft.; 4;000 ft.; and 5;000 ft. that were all a factor. As soon as I had divergence with my traffic that was a factor; I issued a climb. Tower should assure that aircraft are turning to avoid the MVA. I don't feel we have the space available to not use 3;000 ft. in that area for other aircraft inbound just to ensure that those releases can make that turn. Weather was not an issue. The subsequent vectors the aircraft received were made quickly so I'm not sure why a shallow turn was being used. Had the plane come off correctly I would have been able to climb him in front of the VFR arrivals instead of holding underneath. I am also unaware if tower instructed the shallow turn due to a left downwind aircraft I had given them at 2;500 ft. but it's a possibility.,,A TRACON Departure Controller reported a departing aircraft made an unusually shallow turn on departure and flew below the Minimum Vectoring Altitude.
1743803,202005,2020-05,2020,5,0601-1200,ZZZ.ARTCC,FO,,31000.0,IMC,Turbulence; Windshear,Air Carrier,MD-11,Cruise,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control,Weather,Weather,Weather / Turbulence Encounter,Regained Aircraft Control,Medium,At approximately 100 miles West of ZZZZZ at FL310 ZZZZ Radio descended us to FL300 due to traffic.  At approximately 50 miles West of ZZZZZ we encountered extreme wind shear with gains/losses of 25-30kts and gains/losses of 500 feet in altitude. The winds were about 270/125. The autopilot disconnected twice with multiple stick shaker activations; (3 or 4 times); accompanied with tail-wind shear alert displayed on Captains PFD (Primary Flight Display).  At one point the airspeed was 5kts about the foot with MAX Power selected and we were still unable to maintain altitude.  I advised that we were unable to maintain our altitude and that we were descending and requested a block altitude of FL270-280. This was approved by ZZZZ Radio. The aircraft was under control and able to maintain altitude at FL280 with the spot winds  of 270/65 in continuous moderate turbulence.  This lasted for about another 5-10 minutes.  We remained at FL280 until climbing at ZZZZZ1 to FL310 and talking to ZZZ Radio.  The First Officer did a very good job of controlling the 'attitude' of the aircraft throughout the entire event.,ZZZZ [ARTCC] descended us from FL310 to FL300 due to traffic approaching ZZZZZ. We were already experiencing light turbulence and had slowed to 0.81 Mach. Pretty quickly after leveling off the turbulence escalated to a severe level. Autopilot (AP) maintained altitude about +/-200 ft and I was overriding the throttles to stay out of either foot. We were +/-15 knots and +/-20 deg bank. A few seconds later the AP disconnected itself and the aircraft started rolling due to the turbulence. I recovered to level flight on altitude and reset the AP. Almost right away the turbulence escalated further to extreme. The A/C (Aircraft) was yawing; rolling +/-30 deg altitude +/- 500 ft and airspeed was +/- 25-30 KIAS. At this point the AP fell offline again and I took over hand flying focusing on airspeed and attitude. There were many positive and low or negative G excursions. During this time there were multiple stickshaker activations and a TAIL WINDSHEAR indication. We were using HF (High Frequency) to communicate with ZZZZ (poor reception) and CPDLC (Controller Pilot Datalink Communications) was not working. The Capt advised ZZZZ of the turbulence and asked for a descent and a block altitude and was told to 'stand by'. With MAX power selected the aircraft would not accelerate until we descended. He advised them we were descending as we could not maintain altitude. Eventually ZZZZ cleared us a block altitude FL270-280 after we had descended to FL280 on our own. The rough air continued for another 5 minutes at a reduced level (light-moderate) and smoothing out. The winds at altitude were 270/125 when the event began and when it was over had decreased to 270/65. We did not enter either foot during the event. AP reconnected level at FL280.,MD11 flight crew encountered extreme turbulence in cruise.
1743824,202005,2020-05,2020,5,0601-1200,ZZZ.TRACON,US,,6000.0,,,Air Carrier,Commercial Fixed Wing,Climb,Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Became Reoriented,Human Factors; Environment - Non Weather Related,Human Factors,Speed Deviation,Regained Aircraft Control,Medium,On departure out of ZZZ was given a heading after taking off and to level at 6;000 feet. I turned to the heading and let the nose [go] below the flight director to try and give an easier level off. At first I reduced the throttles manually; but as we were also looking for traffic ahead I let go of the throttles while looking outside and ended up speeding up to about 265 knots before realizing it. I immediately pulled the throttles back and added back pressure.I believe I underestimated how rusty I might be from barely flying this month. Going forward I'm going to rely more on following the flight director much closer; especially because of how little I'm flying.,,Air carrier Captain had an airspeed deviation and cited being rusty due lack of flying as contributing.
1743829,202005,2020-05,2020,5,1201-1800,OKC.TRACON,OK,,,,Turbulence,Air Carrier,EMB ERJ 170/175 ER/LR,Descent,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,General Maintenance Action,Weather,Weather,Weather / Turbulence Encounter,Other Action,Medium,Encountered possible severe turbulence on descent into OKC; momentary loss of altitude -700 ft. and +1000 FPM airspeed +/- 15 kts. with pressure against the seatbelt. It was borderline if it was severe but written up out of an abundance of caution.,,E175 Captain reported airspeed and altitude excursions after encountering severe turbulence on descent into OKC.
1743920,202005,2020-05,2020,5,1801-2400,PHL.Airport,PA,1000.0,,,,Air Carrier,Commercial Fixed Wing,Initial Approach,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Flight Crew Became Reoriented; Flight Crew Returned To Clearance,Airport; Chart Or Publication,Airport,Altitude Deviation,Returned to Clearance,Medium,We were cleared a visual approach to 9R; and upon asking; were re-cleared to land on 9L. We had briefed the approach before the descent into PHL. Our logic was with reduced traffic we had a chance of getting it; thus shortening taxi in and saving gas. Once Tower cleared us to land on 9L; we side-stepped over to land. We conducted a visual approach because the ILS was not turned on. Runway 9L has REIL's and MALSR lighting. Runway 9R has PAPI's and ALSF-II; with the PAPI's on the right side of the runway. In between the runways; and this is the problem; there is some kind of airport structure or antennas or something with horizontal red and white lights that give the appearance of a PAPI. We were unable to distinguish what exactly it was on short final in the dark while focusing on landing. From a long way out on a visual approach it gave us the mis-perception that we were on a valid glide path; but it is not a PAPI. This caused confusion to us as a crew because it was not the picture that was briefed; the lights are in an abnormal position in relation to the runways; and there is no descent guidance whatsoever in these lights. We ended up slightly high but not so high that only a small correction was needed to execute a safe; uneventful landing. In less than perfect visibility; an aircrew might be misled into a dangerous approach. All the lights in this structure need to be red and a note on a safety page or the 10-9 or approach plate. Proper diagramming on the 10-9 would work too.,,Air carrier Captain reported seeing and following a set of horizontal lights which appeared to be PAPI between two parallel runways at PHL. On short final; the crew determined these were not PAPI lights and they gave the misperception of being on a valid glide path.
1744041,202005,2020-05,2020,5,0001-0600,ZZZ.ARTCC,US,,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,Final Approach,Conflict Airborne Conflict; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Returned To Clearance,Airport; Staffing; Procedure; Human Factors; Environment - Non Weather Related,Human Factors,Track / Heading Deviation,Executed Go-Around,Medium,ZZZ was using Runway X configuration due to the winds. Aircraft X flew into ZZZ Airspace on the Arrival and was told to report ZZZZZ; expect Runway X. When they reported ZZZZZ; I advised to fly a right downwind for Runway X. In the meantime; I had moved an aircraft on Ground Frequency and also cleared at least two other aircraft the use of Runway X. I cleared Aircraft X sequence and clearance to land Runway X. They read back Runway X. There was one aircraft in the Runway X local traffic pattern and I moved to sequence and clear him behind Aircraft X; but could not find Aircraft X out the window; until I saw him very short final; if not over the threshold for Runway Y. I immediately sent him around and advised I had cleared him for Runway X; told him on climbout to turn left; and fly a left downwind for Runway X. By this time the traffic pattern aircraft was well into the right downwind approaching right base turn. Aircraft X had turned left to join left downwind for Runway Y; conflicting with the traffic pattern aircraft. I told Aircraft X to immediately climb and turn westbound and issued traffic. Aircraft X reported the traffic insight. Thankfully the right base pattern traffic had already started their descent down in preparation for Runway X arrival; but I had not seen that at the time of the immediate climb clearance. I told them to extend out to the shoreline and enter right base Runway X; and asked if they understood that we are landing Runway X; the eastbound runway; and they said yes. I had to point them out to ZZZ1 Tower while they maneuvered back inbound to Runway X. They landed and taxied to park.This could have been a major issue had my pattern traffic; or any other arrivals for that matter been on short final or approach. The pattern traffic aircraft (sorry I forget his call sign) was on the departure end of Runway X and was not affected by the Runway Y go-around.I did not Brasher the pilot because I wasn't 100% sure if I had misspoken and wanted to listen to the tapes.Aircraft X is a student trainer aircraft. There could have been instruction going on and distraction; however the pilot in command read back Runway X several times. The flight school location on the field changed recently- and often for convenience in taxiing; they request to land Runway Y- so there could have been some expectation bias from the pilot going on. I did see two pilots exit the plane when they parked on their ramp.At the time of the incident; I was the only Air Traffic Controller on the clock. The previous Controller's shift was over and that is when Aircraft X initially called inbound. Coronavirus has us down two controllers; so we are operating summer traffic on winter hours; staying open only until XA pm instead of normal XC am. With daylight lasting later into the evenings; traffic is staying steady later into the evenings. Typically on summer hours; at the time of this occurrence; there would have still be 2 controllers on position and this had a better chance of getting caught sooner and alleviating the situation. To have more eyes in the Tower later in the evening and to accommodate safer operations for everyone; I would recommend some changes to scheduling. I would recommend a 1-9; 2-10; and 215-10:15 to help alleviate workload and increase safety.,,Center Controller reported an aircraft attempting to land on the wrong runway resulting in another aircraft executing a go-around.
1744071,202005,2020-05,2020,5,,,,,,,,Air Carrier,Commercial Fixed Wing,Parked,Aircraft Equipment Problem Less Severe; Airspace Violation All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Person Dispatch,,,Aircraft; Staffing; Procedure; Airspace Structure; Company Policy; Environment - Non Weather Related,Aircraft,Track / Heading Deviation,No Action Reported,Medium,The Captain operating Flight AB contacted flight control over SATCOM to request to speak with Dispatch and Maintenance regarding the malfunction of their CPDLC. Maintenance told the crew that if they preferred they could issue an MEL to defer the CPDLC; as long as the Captain and dispatch agreed it was deferrable. The Captain wanted to continue with the deferral and I stated that I would review the route; NOTAMs and Jepp to verify there were no restrictions.  The first step I took was to review the enroute NOTAMs over waypoint ZZZ VOR because that is a known hotspot.  There was a NOTAM for ZZZ1 VOR that stated 'If' the aircraft was capable of logging onto CPDLC that it was preferred for that route.  I interpreted the wording of the NOTAM to mean that it was preferred; but not required. To continue my investigation of the NOTAM over ZZZ1 I searched 'CPDLC' in the state rules and procedures for Country X in the Jepp airway manual text.  Under 'Route 1234; Y1; Y2 procedures' it states 'data link service; CPDLC/ADS-C; is applied to the Routes 1234 [ZZZZZ-ZZZZ]; Y1 and Y2.' And then there is a table for 'Country mainland data link routes operational conditions' and lists CPDLC requirement; again; only for 1234; Y1 and Y2.   Then I searched CPDLC for the rest of the state rules and procedures for the countries along the rest of the route and referenced an email from the training department that confirms that our aircraft; can operate in Continent X with no FL restriction with CPDLC inop. Then I confirmed to the Captain that I could not find any restrictions preventing us from using the deferral and continuing the flight as planned. The CPDLC deferral does require the ATC strip to be modified to reflect the loss of CPDLC; so I attempted to rerun the flight plan; but LIDO was not able to rerun the flight plan and gave an error message that there were no available FL on airway X111. When I reviewed the enroute NOTAMs for X111; there was an airway restriction up to FL310; and I mistakenly assumed that LIDO was misinterpreting the NOTAM and restricting the entire airway then in perfect storm timing the enroute airway restriction NOTAM was canceled and I reran the flight plan (and assume that I mistakenly reran the flight plan without the MEL applied) and was able to run the flight plan on another OFP; confirming my belief that it was just a misinterpreted NOTAM by LIDO.  Then I wanted to be certain that I did not mess with the planned fuel or planned altitudes by simply canceling and refiling the ATC strip on the filed OFP instead of sending a whole new flight plan with a new OFP this was to prevent accidentally changing any current info; due to the flight being ready to block for departure; and also to receive acknowledgment from all countries listed under the ATC filing; which I did receive acknowledgment and no reject from all of them. It was not until I came in the next day that I was informed by a Senior Dispatcher that there were two RNP4 airways that were on the route; X111 ZZZZ1 to ZZZZZ2; and Y999 ZZZZZ2 to ZZZZZ3. I quickly realized that I had been scanning for any restrictions to CPDLC and not also looking for restrictions to RNP4 (which would have led me straight to the RNP4 routes listed in the airway manual text).My suggestions moving forward after reviewing this situation. I felt pressure due to time constraints because 1) The flight was nearing their ETD and the route for ZZZZ1 to ZZZZ2 is notorious for airway closures and I did not want to risk possibly delaying into them; 2) The flight was ready to block and if it was possible to continue with the deferral then I did not want to cause a delay; 3) The Continent X desks (at least mine) are seemingly always setup with flights departing very close to the same time.  I was also responsible for Flight AC ZZZZ3-ZZZZ2 and XXX ZZZ-ZZZZ2 which both departed within an hour of each other and I was already almost an hour and a half behind on planning due to the ZZZZ1 deferral and there are multiple NOTAMs to review for XX and XXX can be time consuming to find an efficient route to cross that is also approved by [foreign ATC]. In fact I had to notify the Supervisor that it was possible that I would not have XXX paperwork submitted in time; but was able to barely make the 2 hour deadline.The next issue was that due to coronavirus separations I was the only dispatcher in Continent X control in my building so I did not have anyone directly next to me to start the dispatch release process and failed to ask my fellow dispatchers on the ocean side for assistance. Lastly; guidelines for constant issues with CPDLC freezing state that if the CPDLC freezes before departure to contact maintenance and have them accomplish the circuit breaker reset procedure. So from now on I will insist that maintenance follow through with this procedure instead of defaulting to a deferral.,,Dispatcher reported re-routing issues associated with the deferral of a flight's CPDLC system.
1744128,202005,2020-05,2020,5,0601-1200,ZZZ.Airport,US,,13000.0,VMC,,,EMB ERJ 135 ER/LR,Descent,Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Environment - Non Weather Related; Airspace Structure,Airspace Structure,Near Mid-Air Collision (NMAC),Took Evasive Action,High,We were at 13;000 feet; 8 miles from ZZZZZ on the arrival into ZZZ. ATC called traffic and we responded; looking. We saw the traffic on the box showing 400 feet below us and ahead of us. We got an aural traffic alert from the box. Then got RA CLIMB. We complied to climb and got to 13;300 feet. Then heard clear of traffic. Told ATC we got RA and had to climb. When clear; told ATC we were going back down to 13;000 feet.,,EMB-135LR First officer reported an NMAC event during arrival.
1744133,202005,2020-05,2020,5,1801-2400,IAH.Airport,TX,,,IMC,,Air Carrier,Embraer Undifferentiated or Other Model,Initial Approach,ATC Issue All Types; Aircraft Equipment Problem Less Severe; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Wake Vortex Encounter; Inflight Event / Encounter Weather / Turbulence,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Aircraft; Weather; Environment - Non Weather Related,Aircraft,Weather / Turbulence Encounter,ATC Intervention / Vectoring,Medium,I was flying pilot on ILS 8R at IAH. LOC was very squirrelly. Autopilot was chasing it; so I disconnected and hand flew probably around REIGN. LOC was very sensitive and fluctuating back and forth 1/4 to 1/2 dot. Kept it relatively centered. Was barely deflected; less than 1/4 dot and Tower override says we are south of localizer; turn left immediately and re-intercept.  According to CDI we were just slightly right; almost touching centered.  I made a correction to the north and changed to magenta needles to follow until outside of OM. While on magenta needles; we encountered wake turbulence. Aircraft in front of us was about 6 miles ahead. We had aircraft to the south on parallel below us. Went back to green needles outside of OM. Light rain but we got visual of the runway. Localizer seemed to be slightly off; and sensitive. I queried if anyone else had issues with localizer; Tower said no; and that we were back and forth across course for most of the arrival.  I wrote it up when we arrived at the gate. Threat of possible inaccurate CDI/localizer. Hand flying. Being south of localizer during parallel approaches is undesirable. Wake turbulence possibly because of south of course. Use magenta needles for longer on approach. Turn autopilot back on.,,EMB Captain reported Tower advised of a track deviation on ILS approach to IAH.
1744138,202005,2020-05,2020,5,1201-1800,ZZZ.Airport,US,,1500.0,VMC,,,Commercial Fixed Wing,Final Approach,Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control,In-flight,General None Reported / Taken,Human Factors,Human Factors,Altitude Deviation,No Action Reported,Low,Arriving at ZZZ; after approach check was completed; on a very light traffic day; I was cleared 'ILS X; 2;000 till established.' I stayed at 2;000 until intercepting the glide slope and did not meet the mandatory 1;500 at ZZZZZ. When I checked on with Tower they said; 'I guess Controller gave you relief from ZZZZZ?' We were almost on top of ZZZZZ at this time and could not make the restriction. I don't know why; but I thought; '2;000 until established' gave me relief from the ZZZZZ crossing restriction.1) I was lulled into a false sense of ease. Due to Coronavirus there was very little traffic in X airspace and it was a beautiful visual day. Usually I would have been hyper-alert in that airspace; but it was more like going into non busy area or something. 2) Expectation bias-I expected the clearance to say; '2;000 until established; ZZZZZ at 1;500; cleared for the ILS X.' When Controller cleared me; I thought; 'I don't have to cross ZZZZZ at 1;500; Controller gave me 2;000 until established.' 3) Weak approach brief-my PNF mentioned afterward that he forgot about the mandatory 1;500 at ZZZZZ. Had I briefed more thoroughly; he may have caught my mistake; but since I didn't verbalize the ZZZZZ -1;500 feet restriction; he was not in the loop. 4) I did not verbalize my intention when Controller gave me the clearance- I should have said something like; '2;000 until established; I don't have to make ZZZZZ at 1;500.' My PNF might have then recognized my stupidity.,Arriving into ZZZ I was the pilot monitoring and was on approach control frequency.  We were initially clear direct ZZZZZ1 and later given a heading of 090 to intercept. We were then given 'On heading 090 maintain 2;000 till established; cleared for the ILS X; contact ZZZ Tower.' The PF armed the approach and neither of us took note of the mandatory altitude of 1;500 at ZZZZZ even though both of us have flown this approach many times in the past. When I contacted the Tower we were cleared to land.  Tower then said 'I guess you were given relief on the altitude at ZZZZZ.'  Without thinking I replied 'Yes.'  I then looked at the approach chart and noted the altitude requirement.  No further comment from Tower and no request for a phone call were made.This error was caused by complacency due to the fact it was severe VMC and we had been on the approach many times.  The approach briefing was 'Visual approach backed up by the ILS'.  The briefing should have been more thorough but it was lax due to the conditions.  My monitoring was lax in that I didn't look over the approach chart to note the mandatory crossing altitude.In the future I will make sure we do a complete briefing of the approach chart even in VMC conditions.,Flight crew reported missing a crossing restriction during approach.
1744159,202005,2020-05,2020,5,0001-0600,ZZZ.Airport,US,,2000.0,VMC,,Air Carrier,Regional Jet 200 ER/LR (CRJ200),Climb,Conflict NMAC; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Automation Aircraft RA; Person Flight Crew,In-flight,Flight Crew Took Evasive Action,Human Factors; Procedure,Procedure,Near Mid-Air Collision (NMAC),Took Evasive Action,High,Departing from Runway 32 out of ZZZ; we experienced an RA (Resolution Advisory) due to close proximity traffic. Lining up on Runway 32 after Tower had just opened; we were cleared for takeoff with an assigned altitude of 2000 ft and runway heading. I and the Tower had visual contact with a single engine Cessna that had just departed prior to us taking the runway. It appeared to be turning to the right of the runway centerline. On takeoff roll the Tower changed our heading instructions to a left turn 280 in order to maintain separation from that traffic. The Tower did note that he was not talking to the Cessna ahead of us. We executed a left turn to 280 after takeoff and nearing 2000 feet; the Tower instructed us to make a 'hard right turn to heading 360 and climb to 10;000 ft;' As PM (Pilot Monitoring) I read back those instructions; however; knowing the Cessna traffic's location; the Captain and I were concerned about executing a right turn in the direction of the traffic. Within seconds of that instruction to turn right and climb; we received a traffic warning from the TCAS (Traffic Collision Avoidance System) systems and within a split second and RA was announced by the TCAS system. The Captain; who was acting as PF (Pilot Flying) disengaged the autopilot and started a climb to avoid the traffic and comply with the resolution advisory. As we were climbing above 2000 ft; I acquired visual of the Cessna and noted it was not more than 300 to 400 feet below us as we were climbing. At this point we were still on a 280 heading. After clearing the conflict; we turned on course continuing the climb to 10;000ft and contacted departure. A single engine Cessna departure ZZZ and was not in communications with Tower. He appeared to be turning east.  We took off and the traffic turned west towards us. We followed SOP (Standard Operating Procedure) guidance and CFM (Company Flight Manual) procedures following the TCAS systems to avoid a mid-air.  The Cessna aircraft should have been in direct radio contact with the Tower. Tower should have directed us to continue our turn to the west instead of the east while climbing.,A light single engine Cessna departed Runway 32 ahead of us in ZZZ. After Tower cleared us for takeoff; he amended our assigned heading to 280 since the previous departure was not turning enough to the right. We took off and turned to 280 and leveled at 2;000 ft. At this time the Cessna had turned back to the left and was coming toward us at the same altitude. Tower attempted to talk to the Cessna; but got no response. Tower then told us to do a hard right turn to 360 and climb to 10;000 ft. I was monitoring the autopilot capture 2;000 and looking at TCAS (Traffic Collision Avoidance System) to see the traffic. I was confused and thought that the controller may be telling the Cessna to do a hard 360 to the right. I didn't think it safe for us to do a right turn towards the traffic. I started a climb in VS (Vertical Speed) mode without the turn and then we got an RA (Resolution Advisory) instructing us to climb. At this point; I disconnected the autopilot and expedited our climb and asked the FO (First Officer) if he saw the traffic. He said he did; and it was bellow us about three to four hundred feet away. FO/PM (First Officer/Pilot Monitoring) notified Tower that we responded to an RA and continued our climb up to 10;000 and were cleared on course. General aviation traffic that was not in communication with the Tower and was not broadcasting on CTAF as the tower opened at XA:00 and they took off at about XA:01 local. The GA aircraft also turned toward us. GA Cessna should have been on CTAF and communicated with Tower at after they took off since they were in the airspace when Tower opened. Tower could have given us a higher altitude such as 10;000 prior to takeoff to let us climb out of the traffic environment. Once we had a conflicting course; the important thing was to initiate a climb rather than confuse us with a hard turn to 360.,Flight Crew flying CRJ-200 aircraft encountered a Near Mid Air collision with a Cessna aircraft.
1744199,202005,2020-05,2020,5,0601-1200,ZZZ.ARTCC,US,,14000.0,VMC,,,Light Transport,Climb,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance,Environment - Non Weather Related; Human Factors; Procedure,Human Factors,Altitude Deviation,Returned to Clearance,Medium,Enroute; we were cruising at 14;000 feet awaiting a climb (planned FL340). My FO and I heard us cleared to FL270 from Center. My FO read the climb clearance back without comment from ATC. We began a climb and sometime just above 16;000 feet; ATC came on frequency with instructions to descend; that we were not cleared to climb. We immediately began a descent. I apologized and explained what we heard and read back. ATC did not respond. Remainder of interaction with Controller was uneventful; as was the remainder of the flight.With the pandemic; prior discussions with ATC informed me that less traffic volume has resulted in Controllers covering more simultaneous sectors. I'm wondering if the climb clearance was given to an aircraft on a different frequency (with a similar call sign) such that we heard no other aircraft read back the clearance; further reinforcing our belief that the clearance was for us. My FO and I discussed the event and still believed that our tail number received the clearance.,,Pilot reported a communication issue resulted in an altitude deviation.
1744622,202006,2020-06,2020,6,1201-1800,EUG.TRACON,OR,,7900.0,VMC,,Personal,Small Aircraft,Descent,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Separated Traffic; Air Traffic Control Issued New Clearance,Airspace Structure; Company Policy; Human Factors; Procedure; Staffing,Procedure,Terrain / Obstacle Alert (CFIT/CFTT),ATC Intervention / Vectoring,Medium,Period of slow traffic in the sector. Aircraft X was an IFR in bound from the southwest. The aircraft was descended to 9;000 feet in an 8;700 foot MVA (Minimum Vectoring Altitude). The aircraft was then given descent to 8;700 feet and gave a proper readback. The aircraft was not given any course guidance and was told to expect the Visual Approach to at MFR. I was assisting another Controller with an aerobatic TFR. I had already full routed Aircraft X strip; the aircraft did not appear to be direct MFR. The strip indicated that the pilot had filed direct ZZZ an airport 10 SE of MFR. I inquired to the pilot if they wanted a vector for the straight in Visual Approach for MFR and at this time noticed the pilot had descended to 8;000 feet and was continuing to descend. I advised the pilot to climb and maintain 8;700 feet and the pilot canceled their IFR flight plan and went to ZZZ. I did not issue the low altitude warning. Approximately twenty minutes later when traffic had built slightly there was an IFR inbound from the northeast for the right down wind and a VFR departure followed by an IFR aircraft. The IFR aircraft was issued the RNAV departure; this takes the aircraft straight out. The VFR aircraft was given a turn to the Northeast for the IFR departure and the IFR inbound was on a heading to ensure separation. Aircraft Y was issued the VFR traffic and I was advised by Tower they had the VFR aircraft in sight. I had to stop the VFR departure for the IFR inbound at 7;000 feet. It appeared that Aircraft Y was not on the RNAV departure and headed directly at the VFR aircraft. I asked the IFR aircraft to verify departure procedure and they verified RNAV. I advised the pilot that this procedure would take them directly to ZZZ1 and the pilot stated correcting and they had the VFR aircraft in sight. Upon reviewing the tape Aircraft Y did not state altitude leaving and climbing to on initial check on and I did not catch this.I recommend the ability to provide oversight or assistance for the facility while not working position. Had I not been acting in a supervisory capacity at the time; I may have caught the descent quicker than I had. With the IFR aircraft this is a semi regular event with aircraft. Their SMS will occasionally take them off the course for the RNAV even when the pilot has programmed the aircraft correctly. At the time of this report I have not had the opportunity to see if this was the case.,,EUG TRACON Controller working a radar sector reported one aircraft descended below the Minimum Vectoring Altitude and another flew off course into confliction with a VFR aircraft.
